Name,buy_date,n_shares,buy_price,commissions_ini,sell_date,sell_price,info,sell_commissions
AEEM.MI-0,2019-11-21,360,4.21,6.89,,,{},0.0
SWDA.MI-0,2019-11-21,64,54.86,10.35,,,{},0.0
IUSE.MI-0,2019-11-21,22,68.36,6.61,,,{},0.0
UST.MI-0,2019-11-21,51,29.34,6.34,,,{},0.0
IWDP.MI-0,2020-01-03,100,25.01,9.0,,,{},0.0
AEEM.MI-1,2020-01-03,330,4.53,6.88,,,{},0.0
AEEM.MI-2,2020-01-08,450,4.51,6.89,,,{},0.0
CL2.MI-0,2020-02-11,1,2734.0,16.5,2020-05-27,1986.0,{},16.5
CSEMUS.MI-0,2020-02-11,7,221.35,7.78,,,{},0.0
CSEMUS.MI-1,2020-02-11,11,221.2,7.78,,,{},0.0
SWDA.MI-1,2020-02-11,70,59.61,10.35,,,{},0.0
SWDA.MI-2,2020-03-19,36,41.78,10.35,,,{},0.0
GDXJ.MI-0,2020-04-15,26,28.91,6.5,,,{},0.0
GDXJ.MI-1,2020-05-29,87,34.62,10.23,,,{},0.0
