Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK,Adj Close
2020-02-11,221.2,222.35,221.1,222.2,564.0,0.0,0.0,,,0.0,-1.8300000000001546,1555.3999999999999,1557.23,True,
2020-02-12,222.3,223.5,222.3,223.75,266.0,0.0,0.0,222.2,0.6975697569757022,0.6975697569757028,9.019999999999982,1566.25,1557.23,True,
2020-02-13,222.8,224.15,222.8,223.9,44.0,0.0,0.0,223.75,0.06703910614525022,0.7650765076507727,10.069999999999936,1567.3,1557.23,True,
2020-02-14,224.1,225.2,224.1,224.6,132.0,0.0,0.0,223.9,0.3126395712371499,1.0801080108010828,14.970000000000027,1572.2,1557.23,True,
2020-02-17,225.0,225.65,224.85,225.45,311.0,0.0,0.0,224.6,0.378450578806766,1.4626462646264626,20.919999999999845,1578.1499999999999,1557.23,True,
2020-02-18,224.95,224.95,223.8,224.35,328.0,0.0,0.0,225.45,-0.48791306276335655,0.9675967596759701,13.220000000000027,1570.45,1557.23,True,
2020-02-19,224.55,225.05,224.55,225.65,110.0,0.0,0.0,224.35,0.5794517494985607,1.5526552655265604,22.319999999999936,1579.55,1557.23,True,
2020-02-20,226.2,226.2,225.05,225.05,79.0,0.0,0.0,225.65,-0.2658985153999538,1.2826282628262928,18.12000000000012,1575.3500000000001,1557.23,True,
2020-02-21,223.8,224.1,223.8,222.95,149.0,0.0,0.0,225.05,-0.9331259720062324,0.3375337533753376,3.4199999999998454,1560.6499999999999,1557.23,True,
2020-02-25,214.25,214.25,209.05,209.45,552.0,0.0,0.0,222.95,-6.055169320475439,-5.738073807380738,-91.08000000000015,1466.1499999999999,1557.23,True,
2020-02-26,207.25,210.45,203.15,210.35,15961.0,0.0,0.0,209.45,0.4296968250179001,-5.33303330333033,-84.77999999999997,1472.45,1557.23,True,
2020-02-27,207.85,207.85,201.4,203.25,2930.0,0.0,0.0,210.35,-3.375326836225334,-8.528352835283522,-134.48000000000002,1422.75,1557.23,True,
2020-02-28,196.66,198.64,195.28,197.32,948.0,0.0,0.0,203.25,-2.917589175891766,-11.197119711971196,-175.99,1381.24,1557.23,True,
2020-03-03,202.05,203.35,200.15,199.9,7731.0,0.0,0.0,197.32,1.3075207784309706,-10.03600360036003,-157.93000000000006,1399.3,1557.23,True,
2020-03-04,200.15,201.55,199.58,200.2,527.0,0.0,0.0,199.9,0.15007503751875984,-9.900990099009901,-155.83000000000015,1401.3999999999999,1557.23,True,
2020-03-05,197.8,197.8,195.54,196.44,3424.0,0.0,0.0,200.2,-1.8781218781218745,-11.59315931593159,-182.1500000000001,1375.08,1557.23,True,
2020-03-06,192.8,192.8,188.2,190.18,782.0,0.0,0.0,196.44,-3.186723681531256,-14.410441044104402,-225.97000000000003,1331.26,1557.23,True,
2020-03-10,178.7,182.86,175.38,174.04,2083.0,0.0,0.0,190.18,-8.48669681354507,-21.674167416741675,-338.95000000000005,1218.28,1557.23,True,
2020-03-11,172.62,172.62,171.2,170.98,105.0,0.0,0.0,174.04,-1.75821650195358,-23.051305130513054,-360.3700000000001,1196.86,1557.23,True,
2020-03-12,161.2,161.2,151.3,151.3,656.0,0.0,0.0,170.98,-11.510118142472791,-31.9081908190819,-498.1299999999999,1059.1000000000001,1557.23,True,
2020-03-13,156.88,162.08,154.62,152.66,518.0,0.0,0.0,151.3,0.8988764044943753,-31.296129612961295,-488.6100000000001,1068.62,1557.23,True,
2020-03-17,138.38,142.26,138.38,141.52,108.0,0.0,0.0,152.66,-7.297261889165451,-36.3096309630963,-566.5899999999999,990.6400000000001,1557.23,True,
2020-03-18,140.08,140.5,135.6,137.52,831.0,0.0,0.0,141.52,-2.8264556246466954,-38.1098109810981,-594.5899999999999,962.6400000000001,1557.23,True,
2020-03-19,137.18,139.5,136.78,138.4,260.0,0.0,0.0,137.52,0.6399069226294296,-37.713771377137704,-588.43,968.8000000000001,1557.23,True,
2020-03-20,145.0,145.3,144.2,142.66,125.0,0.0,0.0,138.4,3.0780346820809212,-35.79657965796579,-558.61,998.62,1557.23,True,
2020-03-24,145.1,148.64,145.1,149.0,999.0,0.0,0.0,142.66,4.444132903406706,-32.94329432943294,-514.23,1043.0,1557.23,True,
2020-03-25,158.0,158.0,150.5,152.82,646.0,0.0,0.0,149.0,2.56375838926175,-31.224122412241222,-487.49,1069.74,1557.23,True,
2020-03-26,151.98,151.98,151.98,155.3,50.0,0.0,0.0,152.82,1.6228242376652435,-30.1080108010801,-470.1299999999999,1087.1000000000001,1557.23,True,
2020-03-27,154.5,154.5,151.6,151.68,419.0,0.0,0.0,155.3,-2.3309723116548664,-31.737173717371732,-495.47,1061.76,1557.23,True,
2020-03-31,156.5,156.5,156.48,155.5,542.0,0.0,0.0,151.68,2.518459915611815,-30.018001800180016,-468.73,1088.5,1557.23,True,
2020-04-01,152.98,153.12,152.92,152.26,70.0,0.0,0.0,155.5,-2.083601286173642,-31.47614761476148,-491.4100000000001,1065.82,1557.23,True,
2020-04-02,156.8,156.8,153.46,153.74,67.0,0.0,0.0,152.26,0.9720215420990552,-30.810081008100802,-481.04999999999995,1076.18,1557.23,True,
2020-04-03,153.44,153.44,152.98,152.48,86.0,0.0,0.0,153.74,-0.8195655001951518,-31.37713771377138,-489.8700000000001,1067.36,1557.23,True,
2020-04-07,162.34,163.4,160.6,160.94,674.0,0.0,0.0,152.48,5.548268625393504,-27.56975697569757,-430.6500000000001,1126.58,1557.23,True,
2020-04-08,161.72,162.24,161.36,162.32,944.0,0.0,0.0,160.94,0.8574624083509397,-26.94869486948695,-420.99,1136.24,1557.23,True,
2020-04-09,164.22,166.44,163.88,165.3,1308.0,0.0,0.0,162.32,1.835879743716129,-25.6075607560756,-400.1299999999999,1157.1000000000001,1557.23,True,
2020-04-14,165.3,166.28,165.3,165.74,170.0,0.0,0.0,165.3,0.26618269812461737,-25.409540954095398,-397.04999999999995,1160.18,1557.23,True,
2020-04-15,166.12,166.12,162.38,160.28,80.0,0.0,0.0,165.74,-3.294316399179442,-27.866786678667864,-435.27,1121.96,1557.23,True,
2020-04-16,162.58,162.6,161.46,161.08,222.0,0.0,0.0,160.28,0.4991265285750002,-27.506750675067497,-429.66999999999985,1127.5600000000002,1557.23,True,
2020-04-17,164.9,164.9,164.4,164.04,1016.0,0.0,0.0,161.08,1.837596225478011,-26.174617461746173,-408.95000000000005,1148.28,1557.23,True,
2020-04-20,166.18,166.18,165.1,165.12,6812.0,0.0,0.0,164.04,0.6583760058522348,-25.688568856885684,-401.3899999999999,1155.8400000000001,1557.23,True,
2020-04-21,163.34,163.34,163.34,161.6,3.0,0.0,0.0,165.12,-2.131782945736438,-27.27272727272727,-426.03,1131.2,1557.23,True,
2020-04-22,163.08,163.56,162.8,163.4,16.0,0.0,0.0,161.6,1.113861386138626,-26.462646264626454,-413.43000000000006,1143.8,1557.23,True,
2020-04-23,164.7,165.32,164.48,165.24,370.0,0.0,0.0,163.4,1.126070991432071,-25.634563456345628,-400.54999999999995,1156.68,1557.23,True,
2020-04-24,164.58,164.7,163.54,163.94,353.0,0.0,0.0,165.24,-0.7867344468651671,-26.219621962196214,-409.6500000000001,1147.58,1557.23,True,
2020-04-27,166.58,166.9,166.58,166.8,61.0,0.0,0.0,163.94,1.7445406856166912,-24.932493249324924,-389.6299999999999,1167.6000000000001,1557.23,True,
2020-04-28,168.3,170.3,168.3,168.86,15.0,0.0,0.0,166.8,1.235011990407675,-24.005400540053994,-375.21000000000004,1182.02,1557.23,True,
2020-04-29,170.54,173.22,170.54,173.1,303.0,0.0,0.0,168.86,2.5109558213904926,-22.097209720972096,-345.53,1211.7,1557.23,True,
2020-04-30,173.98,174.38,171.7,171.82,70.0,0.0,0.0,173.1,-0.7394569612940494,-22.67326732673267,-354.49,1202.74,1557.23,True,
2020-05-04,167.0,168.26,166.32,167.52,1930.0,0.0,0.0,171.82,-2.5026190199045395,-24.6084608460846,-384.5899999999999,1172.64,1557.23,True,
2020-05-05,170.3,170.3,170.3,170.18,1.0,0.0,0.0,167.52,1.5878701050620725,-23.411341134113403,-365.97,1191.26,1557.23,True,
2020-05-06,169.96,169.96,169.96,169.52,2.0,0.0,0.0,170.18,-0.3878246562463272,-23.7083708370837,-370.5899999999999,1186.64,1557.23,True,
2020-05-07,170.7,171.7,170.7,171.78,7.0,0.0,0.0,169.52,1.3331760264275516,-22.691269126912687,-354.77,1202.46,1557.23,True,
