Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2019-11-11,101.04,103.04,100.66,102.67,5391000,0,0,,,0.0,-42.59999999999991,2053.4,2096.0,True
2019-11-12,102.97,103.09,100.92,102.03,6715200,0,0,102.67,-0.6233563845329693,-0.6233563845329703,-55.40000000000009,2040.6,2096.0,True
2019-11-13,102.0,103.6,101.63,102.12,5246600,0,0,102.03,0.0882093501911152,-0.535696892958018,-53.59999999999991,2042.4,2096.0,True
2019-11-14,101.87,103.85,101.37,103.73,4978400,0,0,102.12,1.5765765765765716,1.0324340118827333,-21.40000000000009,2074.6,2096.0,True
2019-11-15,104.35,104.48,103.11,104.2,5639600,0,0,103.73,0.45309939265401056,1.4902113567741317,-12.0,2084.0,2096.0,True
2019-11-18,103.85,104.2,102.98,103.66,4830400,0,0,104.2,-0.5182341650671884,0.9642544073244325,-22.800000000000182,2073.2,2096.0,True
2019-11-19,104.08,106.17,104.01,104.95,7954100,0,0,103.66,1.2444530194867909,2.2207071198987056,3.0,2099.0,2096.0,True
2019-11-20,105.22,105.38,103.12,104.09,5953500,0,0,104.95,-0.8194378275369174,1.3830719781825282,-14.199999999999818,2081.8,2096.0,True
2019-11-21,103.0,104.47,102.15,102.55,7524800,0,0,104.09,-1.479488903833226,-0.11687932209993625,-45.0,2051.0,2096.0,True
2019-11-22,102.92,103.23,100.72,101.77,6448800,0,0,102.55,-0.7606045831301866,-0.8765949157494941,-60.600000000000136,2035.3999999999999,2096.0,True
2019-11-25,102.38,104.57,102.06,104.45,8336100,0,0,101.77,2.633389014444343,1.7337099444823232,-7.0,2089.0,2096.0,True
2019-11-26,104.8,106.78,104.5,106.2,13126400,0,0,104.45,1.6754427955959716,3.4382000584396626,28.0,2124.0,2096.0,True
2019-11-27,106.89,108.24,106.8,107.75,7553400,0,0,106.2,1.4595103578154411,4.947891302230445,59.0,2155.0,2096.0,True
