Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-03-19,41.73,43.02,40.74,42.6,123141,0,0,,,0.0,19.170000000000073,1533.6000000000001,1514.43,True
2020-03-20,43.94,44.66,42.31,42.84,197456,0,0,42.6,0.5633802816901401,0.5633802816901454,27.810000000000173,1542.2400000000002,1514.43,True
2020-03-24,41.99,43.54,41.5,43.54,171842,0,0,42.84,1.6339869281045694,2.206572769953046,53.00999999999999,1567.44,1514.43,True
2020-03-25,44.23,44.93,43.02,44.73,141487,0,0,43.54,2.733118971061077,4.999999999999989,95.84999999999991,1610.28,1514.43,True
2020-03-26,43.55,45.6,43.13,45.49,119862,0,0,44.73,1.699083389224243,6.784037558685448,123.21000000000004,1637.64,1514.43,True
2020-03-27,45.14,45.31,44.21,44.4,114199,0,0,45.49,-2.3961310178061135,4.225352112676049,83.9699999999998,1598.3999999999999,1514.43,True
2020-03-31,45.88,46.19,45.25,46.15,133066,0,0,44.4,3.94144144144144,8.333333333333325,146.9699999999998,1661.3999999999999,1514.43,True
2020-04-01,44.14,44.52,43.82,44.17,112093,0,0,46.15,-4.290357529794142,3.6854460093896724,75.69000000000005,1590.1200000000001,1514.43,True
2020-04-02,44.24,44.79,43.43,44.42,95642,0,0,44.17,0.5659950192438368,4.272300469483568,84.69000000000005,1599.1200000000001,1514.43,True
2020-04-03,44.54,45.08,44.29,44.38,187924,0,0,44.42,-0.09004952723997706,4.178403755868547,83.25,1597.68,1514.43,True
2020-04-07,47.65,48.26,47.17,47.78,253199,0,0,44.38,7.661108607480838,12.15962441314554,205.64999999999986,1720.08,1514.43,True
2020-04-08,46.92,47.71,46.58,47.71,102224,0,0,47.78,-0.14650481372959767,11.995305164319248,203.12999999999988,1717.56,1514.43,True
2020-04-09,48.4,48.95,47.62,48.72,276478,0,0,47.71,2.116956612869414,14.366197183098587,239.49,1753.92,1514.43,True
2020-04-14,49.1,49.39,48.72,48.96,170374,0,0,48.72,0.49261083743843415,14.929577464788732,248.12999999999988,1762.56,1514.43,True
2020-04-15,49.16,49.2,48.09,48.22,133781,0,0,48.96,-1.5114379084967378,13.192488262910793,221.49,1735.92,1514.43,True
2020-04-16,48.81,48.86,48.16,48.7,71770,0,0,48.22,0.9954375777685653,14.319248826291084,238.76999999999998,1753.2,1514.43,True
2020-04-17,49.93,50.28,49.27,49.45,136871,0,0,48.7,1.5400410677617993,16.07981220657277,265.77,1780.2,1514.43,True
2020-04-20,49.83,49.9,49.05,49.82,65209,0,0,49.45,0.7482305358948338,16.948356807511733,279.0899999999999,1793.52,1514.43,True
2020-04-21,49.23,49.35,47.8,47.8,98212,0,0,49.82,-4.054596547571265,12.206572769953041,206.3699999999999,1720.8,1514.43,True
2020-04-22,48.28,48.93,48.22,48.93,41380,0,0,47.8,2.364016736401675,14.859154929577462,247.04999999999995,1761.48,1514.43,True
2020-04-23,49.21,49.78,48.93,49.58,143887,0,0,48.93,1.328428367054979,16.38497652582159,270.4499999999998,1784.8799999999999,1514.43,True
2020-04-24,49.23,49.51,48.97,49.1,157205,0,0,49.58,-0.9681323114158924,15.258215962441312,253.17000000000007,1767.6000000000001,1514.43,True
2020-04-27,49.87,50.24,49.77,50.24,156276,0,0,49.1,2.321792260692468,17.934272300469484,294.21000000000004,1808.64,1514.43,True
2020-04-28,50.34,51.06,50.26,50.56,84454,0,0,50.24,0.6369426751592355,18.685446009389672,305.73,1820.16,1514.43,True
2020-04-29,50.79,51.53,50.67,51.51,85111,0,0,50.56,1.8789556962025333,20.91549295774647,339.92999999999984,1854.36,1514.43,True
2020-04-30,51.62,51.76,50.51,50.54,77280,0,0,51.51,-1.8831294894195327,18.638497652582153,305.01,1819.44,1514.43,True
2020-05-04,48.85,49.13,48.5,48.83,156665,0,0,50.54,-3.383458646616544,14.624413145539899,243.44999999999982,1757.8799999999999,1514.43,True
