Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2019-11-21,29.33,29.4,29.27,29.33,37534,0,0,,,0.0,-6.850000000000136,1495.83,1502.68,True
2019-11-22,29.46,29.48,29.33,29.4,25043,0,0,29.33,0.23866348448686736,0.23866348448687447,-3.2800000000002,1499.3999999999999,1502.68,True
2019-11-25,29.58,29.84,29.58,29.84,6938,0,0,29.4,1.4965986394557929,1.7388339584043695,19.159999999999854,1521.84,1502.68,True
2019-11-26,29.89,29.93,29.82,29.92,55423,0,0,29.84,0.2680965147453085,2.011592226389374,23.24000000000001,1525.92,1502.68,True
2019-11-27,30.03,30.08,30.0,30.11,5532,0,0,29.92,0.6350267379679142,2.659393112853737,32.929999999999836,1535.61,1502.68,True
2019-11-28,30.05,30.12,30.05,30.12,12276,0,0,30.11,0.033211557622059296,2.6934878963518676,33.440000000000055,1536.1200000000001,1502.68,True
2019-11-29,30.03,30.14,30.02,30.05,12047,0,0,30.12,-0.23240371845949515,2.454824411864993,29.86999999999989,1532.55,1502.68,True
2019-12-02,30.1,30.15,29.36,29.4,19510,0,0,30.05,-2.1630615640599093,0.23866348448687447,-3.2800000000002,1499.3999999999999,1502.68,True
2019-12-03,29.51,29.54,28.97,29.02,34898,0,0,29.4,-1.292517006802718,-1.056938288441864,-22.660000000000082,1480.02,1502.68,True
2019-12-04,29.19,29.48,29.17,29.43,13629,0,0,29.02,1.4128187456926344,0.34094783498125275,-1.75,1500.93,1502.68,True
2019-12-05,29.49,29.54,29.33,29.33,2591,0,0,29.43,-0.3397893306150257,0.0,-6.850000000000136,1495.83,1502.68,True
2019-12-06,29.47,29.85,29.47,29.85,11306,0,0,29.33,1.7729287419024908,1.7729287419024995,19.670000000000073,1522.3500000000001,1502.68,True
2019-12-09,29.83,29.89,29.78,29.82,2032,0,0,29.85,-0.10050251256281673,1.6706443914081215,18.139999999999873,1520.82,1502.68,True
2019-12-10,29.69,29.74,29.43,29.69,25651,0,0,29.82,-0.4359490274983169,1.2274122059325026,11.509999999999991,1514.19,1502.68,True
2019-12-11,29.69,29.73,29.65,29.69,5542,0,0,29.69,0.0,1.2274122059325026,11.509999999999991,1514.19,1502.68,True
2019-12-12,29.74,30.01,29.59,29.81,48744,0,0,29.69,0.4041764904008094,1.6365496079099915,17.62999999999988,1520.31,1502.68,True
2019-12-13,29.94,30.01,29.76,29.89,58425,0,0,29.81,0.2683663200268471,1.9093078758949957,21.710000000000036,1524.39,1502.68,True
2019-12-16,30.08,30.28,30.06,30.27,21001,0,0,29.89,1.271328203412514,3.2049096488237345,41.08999999999992,1543.77,1502.68,True
2019-12-17,30.3,30.3,30.17,30.22,4990,0,0,30.27,-0.16518004625041272,3.034435731333108,38.539999999999964,1541.22,1502.68,True
2019-12-18,30.27,30.4,30.26,30.42,7669,0,0,30.22,0.6618133686300487,3.716331401295614,48.74000000000001,1551.42,1502.68,True
2019-12-19,30.36,30.47,30.31,30.47,17289,0,0,30.42,0.16436554898091593,3.886805318786228,51.289999999999964,1553.97,1502.68,True
2019-12-20,30.55,30.81,30.51,30.78,7912,0,0,30.47,1.0173941581884005,4.943743607228105,67.09999999999991,1569.78,1502.68,True
2019-12-23,30.82,30.91,30.8,30.86,11604,0,0,30.78,0.2599090318388564,5.216501875213097,71.17999999999984,1573.86,1502.68,True
2019-12-27,31.07,31.1,30.85,30.93,21238,0,0,30.86,0.2268308489954629,5.455165359699971,74.75,1577.43,1502.68,True
2019-12-30,30.84,30.84,30.44,30.53,10359,0,0,30.93,-1.2932428063368806,4.091374019774984,54.34999999999991,1557.03,1502.68,True
2020-01-02,30.77,31.06,30.75,30.9,15357,0,0,30.53,1.2119226989846021,5.352881009205593,73.2199999999998,1575.8999999999999,1502.68,True
2020-01-03,30.93,31.09,30.83,30.98,44425,0,0,30.9,0.25889967637540146,5.625639277190597,77.29999999999995,1579.98,1502.68,True
2020-01-06,30.83,30.99,30.61,30.97,21532,0,0,30.98,-0.03227888960620762,5.591544493692467,76.78999999999996,1579.47,1502.68,True
2020-01-07,31.09,31.31,31.09,31.3,30692,0,0,30.97,1.065547303842429,6.716672349130591,93.61999999999989,1596.3,1502.68,True
2020-01-08,31.11,31.38,31.06,31.42,19645,0,0,31.3,0.383386581469658,7.125809751108092,99.74000000000001,1602.42,1502.68,True
2020-01-09,31.71,31.88,31.69,31.83,31900,0,0,31.42,1.3049013367281814,8.523695874531196,120.64999999999986,1623.33,1502.68,True
2020-01-10,31.93,32.03,31.86,31.88,73168,0,0,31.83,0.15708451146716484,8.694169792021823,123.19999999999982,1625.8799999999999,1502.68,True
2020-01-13,31.81,31.88,31.8,31.85,21366,0,0,31.88,-0.09410288582182291,8.591885441527458,121.67000000000007,1624.3500000000001,1502.68,True
2020-01-14,31.92,32.12,31.91,31.99,38389,0,0,31.85,0.439560439560438,9.069212410501194,128.80999999999995,1631.49,1502.68,True
2020-01-15,31.97,32.01,31.86,31.94,41488,0,0,31.99,-0.15629884338854705,8.89873849301058,126.25999999999999,1628.94,1502.68,True
2020-01-16,32.02,32.14,31.96,32.06,11498,0,0,31.94,0.37570444583594487,9.307875894988081,132.3800000000001,1635.0600000000002,1502.68,True
2020-01-17,32.24,32.48,32.24,32.35,18424,0,0,32.06,0.9045539613225184,10.296624616433697,147.17000000000007,1649.8500000000001,1502.68,True
2020-01-20,32.46,32.51,32.44,32.51,21751,0,0,32.35,0.49459041731065856,10.842141152403682,155.32999999999993,1658.01,1502.68,True
2020-01-21,32.33,32.47,32.27,32.53,36314,0,0,32.51,0.06151953245157049,10.910330719399942,156.3499999999999,1659.03,1502.68,True
2020-01-22,32.72,32.79,32.65,32.69,20964,0,0,32.53,0.4918536735321055,11.455847255369928,164.50999999999976,1667.1899999999998,1502.68,True
2020-01-23,32.61,32.69,32.5,32.65,7131,0,0,32.69,-0.12236157846435836,11.319468121377431,162.4699999999998,1665.1499999999999,1502.68,True
2020-01-24,33.03,33.06,32.9,32.87,17721,0,0,32.65,0.6738131699846717,12.069553358336172,173.68999999999983,1676.37,1502.68,True
2020-01-27,32.17,32.24,31.88,31.94,77667,0,0,32.87,-2.8293276543960966,8.89873849301058,126.25999999999999,1628.94,1502.68,True
2020-01-28,32.19,32.41,32.04,32.42,25375,0,0,31.94,1.5028177833437795,10.535288100920571,150.74,1653.42,1502.68,True
2020-01-29,32.54,32.71,32.4,32.59,25831,0,0,32.42,0.5243676742751502,11.1148994203887,159.41000000000008,1662.0900000000001,1502.68,True
2020-01-30,32.24,32.5,32.14,32.29,26730,0,0,32.59,-0.9205277692543867,10.09205591544494,144.1099999999999,1646.79,1502.68,True
2020-01-31,32.74,32.76,32.0,32.01,34542,0,0,32.29,-0.8671415298854179,9.137401977497442,129.82999999999993,1632.51,1502.68,True
2020-02-03,32.19,32.56,32.05,32.45,23467,0,0,32.01,1.3745704467354125,10.637572451414949,152.26999999999998,1654.95,1502.68,True
2020-02-04,32.78,33.1,32.75,33.13,24859,0,0,32.45,2.09553158705702,12.956017729287433,186.95000000000005,1689.63,1502.68,True
2020-02-05,33.28,33.77,33.26,33.42,46766,0,0,33.13,0.8753395713854584,13.94476645073305,201.74,1704.42,1502.68,True
2020-02-06,33.72,33.81,33.5,33.79,28441,0,0,33.42,1.107121484141227,15.20627344016366,220.6099999999999,1723.29,1502.68,True
2020-02-07,33.83,33.92,33.66,33.94,20305,0,0,33.79,0.4439183190293017,15.717695192635524,228.25999999999976,1730.9399999999998,1502.68,True
2020-02-10,33.81,34.06,33.7,34.11,32815,0,0,33.94,0.5008839127872866,16.297306512103653,236.92999999999984,1739.61,1502.68,True
2020-02-11,34.44,34.6,34.37,34.54,36150,0,0,34.11,1.260627381999413,17.76338220252302,258.8599999999999,1761.54,1502.68,True
2020-02-12,34.45,34.67,34.41,34.66,11085,0,0,34.54,0.3474232773595709,18.172519604500508,264.9799999999998,1767.6599999999999,1502.68,True
2020-02-13,34.56,34.84,34.44,34.85,41955,0,0,34.66,0.5481823427582411,18.820320490964896,274.6700000000001,1777.3500000000001,1502.68,True
2020-02-14,34.95,35.0,34.78,34.92,68614,0,0,34.85,0.2008608321377281,19.058983975451767,278.24,1780.92,1502.68,True
2020-02-17,35.08,35.11,35.03,35.08,15181,0,0,34.92,0.45819014891179677,19.604500511421755,286.39999999999986,1789.08,1502.68,True
2020-02-18,34.66,35.0,34.63,34.86,42382,0,0,35.08,-0.6271379703534752,18.854415274463012,275.17999999999984,1777.86,1502.68,True
2020-02-19,35.19,35.46,35.15,35.45,40244,0,0,34.86,1.6924842226047065,20.866007500852387,305.27,1807.95,1502.68,True
2020-02-20,35.46,35.46,34.81,34.81,28015,0,0,35.45,-1.805359661495065,18.683941356972397,272.6300000000001,1775.3100000000002,1502.68,True
2020-02-21,34.79,34.98,34.33,34.47,39248,0,0,34.81,-0.9767308244757356,17.524718718036144,255.28999999999996,1757.97,1502.68,True
2020-02-24,33.62,33.62,32.76,33.03,72273,0,0,34.47,-4.177545691906004,12.615069894306183,181.8499999999999,1684.53,1502.68,True
2020-02-25,33.36,33.37,32.33,32.47,90021,0,0,33.03,-1.6954283984256802,10.705762018411185,153.28999999999996,1655.97,1502.68,True
2020-02-26,32.21,32.66,31.47,32.56,262119,0,0,32.47,0.27717893440100116,11.01261506989432,157.8800000000001,1660.5600000000002,1502.68,True
2020-02-27,31.65,31.8,30.57,31.0,150490,0,0,32.56,-4.791154791154795,5.693828844186846,78.31999999999994,1581.0,1502.68,True
2020-02-28,29.78,30.19,28.97,29.82,149370,0,0,31.0,-3.8064516129032278,1.6706443914081215,18.139999999999873,1520.82,1502.68,True
2020-03-02,30.6,30.82,29.6,30.46,79636,0,0,29.82,2.1462105969148215,3.85271053528811,50.77999999999997,1553.46,1502.68,True
2020-03-03,31.17,31.68,30.78,30.77,107257,0,0,30.46,1.0177281680892936,4.909648823729975,66.58999999999992,1569.27,1502.68,True
2020-03-04,30.69,31.14,30.62,31.01,35450,0,0,30.77,0.7799805004874871,5.727923627684976,78.82999999999993,1581.51,1502.68,True
2020-03-05,31.2,31.2,30.52,31.06,100883,0,0,31.01,0.16123831022250013,5.89839754517559,81.37999999999988,1584.06,1502.68,True
2020-03-06,30.01,30.14,28.9,29.4,88904,0,0,31.06,-5.344494526722476,0.23866348448687447,-3.2800000000002,1499.3999999999999,1502.68,True
2020-03-09,27.88,28.5,27.0,27.96,67504,0,0,29.4,-4.8979591836734615,-4.670985339243088,-76.72000000000003,1425.96,1502.68,True
2020-03-10,28.26,28.95,27.49,28.03,160115,0,0,27.96,0.2503576537911334,-4.432321854756213,-73.15000000000009,1429.53,1502.68,True
2020-03-11,28.35,28.58,28.06,28.32,73267,0,0,28.03,1.0346057795219465,-3.443573133310597,-58.36000000000013,1444.32,1502.68,True
